selectedAdaptiveModel,scenarioId
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
risk,1
treatment,1
treatment,1
RCS with 3 knots,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
risk,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
RCS with 3 knots,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
RCS with 3 knots,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
RCS with 3 knots,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
treatment,1
